id,bm,em,em2,tm
223,224,М138,М38,До,1
224,225,М140,М14,До,1
225,226,М140,М16,До,1
226,227,М140,М38,До,1
227,228,М142,М38,До,1
228,229,М144,М14,До,1
229,230,М144,М16,До,1
230,231,М146,М14,До,1
231,232,М146,М16,До,1
232,233,М148,М14,До,1
233,234,М148,М16,До,1
234,235,М150,М14,До,1
235,236,М150,М16,До,1
236,237,М152,М120,На,1
237,238,М154,М142,До,1
238,239,М156,М38,До,1
239,240,М158,М154,На,1
240,241,М158,М174,На,1
241,242,М160,М112,На,1
242,243,М160,М114,На,1
243,244,М160,М116,На,1
244,245,М162,М118,На,1
245,246,М162,М168,До,1
246,247,М164,М162,На,1
247,248,М166,М162,На,1
248,249,М168,М120,На,1
249,250,М172,М120,На,1
250,251,М174,М142,До,1
251,252,М176,М120,На,1
252,253,М300,М318,До,1
253,254,М302,М62,До,1
254,255,М302,М308,До,1
255,256,М304,М316,До,1
256,257,М304,М314,За,1
257,258,М306,М316,До,1
258,259,М306,М314,За,1
259,260,М308,М26,До,1
260,261,М310,М316,До,1
261,262,М310,М314,За,1
262,263,М312,М318,До,1
263,264,М314,М318,До,1
264,265,М316,М300,За,1
265,266,М316,М312,За,1
266,267,М318,М302,До,1
267,268,М318,М310,За,1
268,269,М201,М1,За,1
269,270,М201,М7,За,1
270,271,М203,Ч201,На,1
271,272,М203,Ч202,На,1
272,273,М203,Ч203,На,1
273,274,Ч201,М201,До,1
274,275,Ч202,М201,До,1
275,276,Ч203,М201,До,1
276,277,М202,М210,До,1
277,278,М204,М210,До,1
278,279,М206,М202,За,1
279,280,М206,М204,За,1
280,281,М208,М212,На,1
281,282,М210,М212,На,1
282,283,М210,М214,На,1
283,284,М210,М216,На,1
284,285,М212,М208,За,1
285,286,М212,М218,За,1
286,287,М212,М206,До,1
287,288,М214,М218,За,1
288,289,М214,М206,До,1
289,290,М216,М218,За,1
290,291,М216,М206,До,1
291,292,М218,М212,На,1
292,293,М218,М214,На,1
293,294,М218,М216,На,1
